# m J error
1000 5 2.258924e-01
1000 8 2.677006e-01
1000 20 2.888208e-01
1000 30 3.365234e-01
1000 60 3.516914e-01
5000 5 4.312265e-02
5000 8 2.905607e-02
5000 20 1.130386e-02
5000 30 9.812271e-03
5000 60 9.794651e-03
10000 5 4.281320e-02
10000 8 2.658680e-02
10000 20 7.854652e-03
10000 30 4.714214e-03
10000 60 3.376125e-03
50000 5 4.404116e-02
50000 8 2.688062e-02
50000 20 6.781251e-03
50000 30 3.638431e-03
50000 60 1.381998e-03
100000 5 3.320096e-02
100000 8 2.297502e-02
100000 20 6.407140e-03
100000 30 3.533434e-03
100000 60 1.324584e-03
300000 5 2.505315e-02
300000 8 1.728144e-02
300000 20 5.065039e-03
300000 30 2.812753e-03
300000 60 1.077061e-03
600000 5 2.252620e-02
600000 8 1.515116e-02
600000 20 4.367606e-03
600000 30 2.426249e-03
600000 60 9.178818e-04
