# m J error duality_gap
1000 5 8.152846e-02 2.822280e-04
1000 10 8.414772e-02 1.111627e-04
1000 20 1.380321e-01 1.534820e-05
1000 30 1.130708e-01 5.456805e-05
1000 50 1.439059e-01 1.472384e-04
1000 100 1.880236e-01 1.296997e-04
5000 5 2.125184e-02 4.079938e-05
5000 10 6.158554e-03 4.353374e-05
5000 20 6.184844e-03 1.607835e-05
5000 30 8.880792e-03 1.620501e-05
5000 50 1.184393e-02 1.658499e-05
5000 100 1.980996e-02 6.769598e-05
10000 5 1.839286e-02 4.065782e-05
10000 10 4.469205e-03 1.595169e-05
10000 20 2.006417e-03 1.704693e-05
10000 30 1.800326e-03 1.628697e-05
10000 50 2.915004e-03 1.584738e-05
10000 100 5.195045e-03 5.207211e-05
50000 5 1.609480e-02 3.069639e-05
50000 10 3.235374e-03 1.661107e-05
50000 20 1.141244e-03 1.562759e-05
50000 30 4.094423e-04 1.668558e-05
50000 50 1.847765e-04 1.521409e-05
50000 100 1.223447e-04 1.684204e-05
100000 5 1.538806e-02 2.525374e-05
100000 10 2.961293e-03 1.299009e-05
100000 20 1.017249e-03 1.572818e-05
100000 30 3.450458e-04 1.668744e-05
100000 50 1.423154e-04 1.593120e-05
100000 100 4.284995e-05 1.676939e-05
200000 5 1.472100e-02 1.212209e-05
200000 10 2.802070e-03 9.363517e-06
200000 20 9.539936e-04 1.536869e-05
200000 30 3.133046e-04 1.594611e-05
200000 50 1.191058e-04 1.611933e-05
200000 100 2.866464e-05 1.642294e-05
