# m J error duality_gap
2000 100 1.114194e-01 7.478893e-05
4000 100 3.188542e-02 1.224577e-04
8000 100 1.209094e-02 3.637373e-05
16000 100 1.665870e-03 1.655519e-05
32000 100 3.298991e-04 1.654029e-05
64000 100 8.156026e-05 1.632422e-05
128000 100 3.556109e-05 1.672655e-05
256000 100 2.631823e-05 1.652539e-05
