# m J error
1000 5 2.785035e-01
1000 8 3.488722e-01
1000 20 3.549681e-01
1000 30 3.991063e-01
1000 60 4.390598e-01
1000 135 5.287033e-01
5000 5 1.604557e-01
5000 8 9.036577e-02
5000 20 9.378885e-02
5000 30 9.241948e-02
5000 60 1.083569e-01
5000 135 1.147397e-01
10000 5 6.682516e-02
10000 8 nan
10000 20 4.954426e-02
10000 30 5.424854e-02
10000 60 5.919753e-02
10000 135 6.324810e-02
50000 5 4.516181e-02
50000 8 3.320727e-02
50000 20 1.382880e-02
50000 30 1.124629e-02
50000 60 1.246878e-02
50000 135 1.376012e-02
100000 5 4.179782e-02
100000 8 2.904215e-02
100000 20 9.717433e-03
100000 30 6.716616e-03
100000 60 5.525304e-03
100000 135 6.118982e-03
300000 5 3.868904e-02
300000 8 2.551984e-02
300000 20 7.354511e-03
300000 30 5.125508e-03
300000 60 4.069554e-03
300000 135 3.477146e-03
600000 5 3.734369e-02
600000 8 2.424108e-02
600000 20 6.661715e-03
600000 30 4.922796e-03
600000 60 3.961878e-03
600000 135 3.369358e-03
